Method,Initialization,Target_Month,Lead_Month,NINO3.4,AUC,SEDI,BSS,Accuracy,CSI,BrS,RMSE,MHW_Intensity_Error_C,Observed_MHW_Intensity_RMSE_C,BrS_Reference,hits,misses,false_alarms,correct_negatives
NMME ensemble mean,1990-05,1990-07,2,0.2041034698486328,0.4766218420900135,0.0162693746387958,-2.697146444027028,0.8737300163113098,0.0255719477545739,0.1262699836886902,0.2122782345753684,0.2785709276483896,0.2122782345753684,0.0341533627624319,79.08727592229843,641.4891991019249,2372.1592321395874,20773.969135940075
NMME ensemble mean,1990-05,1990-08,3,0.1525650024414062,0.5881898491120322,0.2194488644599914,-1.911656536346028,0.8841520414213253,0.0611585270238512,0.1158479585786746,0.2004079343853333,0.2587294077464045,0.2004079343853333,0.0397876456692442,180.11322331428528,708.5529606342316,2056.356073439121,20921.682585716248
NMME ensemble mean,1990-05,1990-09,4,0.167510986328125,0.5946274586694181,0.1610303223133087,-1.9512071892292728,0.8649319310827613,0.0580905950647424,0.1350680689172386,0.2342061133364976,0.2226877425346746,0.2342061133364976,0.0457670574299842,198.8116570115089,868.240596473217,2355.3891381025314,20444.26345151663
NMME ensemble mean,1990-05,1990-10,5,0.230743408203125,0.6370120085947403,0.2192011028528213,-1.862850252639692,0.8604261937260428,0.0731606596922521,0.1395738062739572,0.316336940513976,0.2477523891481574,0.316336940513976,0.0487534428827575,262.9477977752685,893.1984308958054,2437.9684072732925,20272.59020715952
NMME ensemble mean,1990-05,1990-11,6,0.0581626892089843,0.6245675331700786,0.2130179107189178,-2.355214918101008,0.8595557285539598,0.06196835728164,0.1404442714460402,0.3302728946097965,0.2627161577459747,0.3302728946097965,0.0418585023237584,221.43638694286344,729.0104526877403,2622.931520819664,20293.326482653614
NMME ensemble mean,1990-05,1990-12,7,0.2891044616699219,0.5511948298052285,0.2194898873567581,-1.7261936527483566,0.8273461752925081,0.0912814901142298,0.1726538247074918,0.3244812204171645,0.2444744821624856,0.3244812204171645,0.0633314601600053,413.9253383278847,1177.132434785366,2943.54543954134,19332.10163044929
NMME ensemble mean,1990-05,1991-01,8,0.6343975067138672,0.6616755364483159,0.3366046249866485,-2.569924295239028,0.7785676538690248,0.1104585091578959,0.2214323461309751,0.6172790490304224,0.274830067571739,0.6172790490304224,0.0620271826005623,656.2457312941551,895.9010323882103,4388.959415435791,17925.59866398573
NMME ensemble mean,1990-05,1991-02,9,0.4009056091308594,0.5302078239712736,-0.0820750370621681,-3.491406517431691,0.7155531956785708,0.0442608061405856,0.2844468043214291,0.5420143134260187,0.5841504484721403,0.5420143134260187,0.063331342468658,314.3934174776077,1276.6608445048332,5512.147077798843,16763.5035033226
NMME ensemble mean,1990-06,1990-07,1,0.2041034698486328,0.4951247292565922,0.0250185411423444,-1.8609048357389768,0.9022904793162112,0.024578224883606,0.0977095206837889,0.1631739943972158,0.1915813363642364,0.1631739943972158,0.0341533627624319,58.7607610821724,661.8157139420509,1670.188576579094,21475.93979150057
NMME ensemble mean,1990-06,1990-08,2,0.1525650024414062,0.5977790403784194,0.1291164308786392,-1.4606416969526586,0.90209686004268,0.0442225838709691,0.0979031399573202,0.1999077905922718,0.2276473209870806,0.1999077905922718,0.0397876456692442,108.11263012886047,780.5535538196564,1556.071790754795,21421.966868400574
NMME ensemble mean,1990-06,1990-09,3,0.167510986328125,0.608358827374192,-0.0004503820382524,-1.5432864770354446,0.8836012617446164,0.0292874730636898,0.1163987382553836,0.2067010687271511,0.2146122883238275,0.2067010687271511,0.0457670574299842,83.81697887182236,983.2352746129036,1794.8190554380417,21004.83353418112
NMME ensemble mean,1990-06,1990-10,4,0.230743408203125,0.646169222270046,0.1994976848363876,-1.376082305990058,0.8841578070101829,0.0687890367121322,0.1158421929898171,0.2497246447133136,0.2403942651089418,0.2497246447133136,0.0487534428827575,204.2350990176201,951.9111296534538,1812.8602988123891,20897.698315620422
NMME ensemble mean,1990-06,1990-11,5,0.0581626892089843,0.6121639196216594,0.1468820124864578,-1.9690827968884848,0.875718640847012,0.0508689245531549,0.1242813591529879,0.3053253422261219,0.2523543857665762,0.3053253422261219,0.0418585023237584,158.97353065013883,791.4733089804649,2174.713207423687,20741.544796049595
NMME ensemble mean,1990-06,1990-12,6,0.2891044616699219,0.5616054117398187,0.178002193570137,-1.4939754792378488,0.8420528912966181,0.0809453893446117,0.1579471087033819,0.3078351615204325,0.2276567192683596,0.3078351615204325,0.0633314601600053,332.01288682222366,1259.044886291027,2510.632137954235,19765.0149320364
NMME ensemble mean,1990-06,1991-01,7,0.6343975067138672,0.6394939686658071,0.3006269037723541,-2.236650361956062,0.799239696984775,0.1057040774935953,0.200760303015225,0.5023014091201252,0.2514919328577795,0.5023014091201252,0.0620271826005623,566.3446398973465,985.8021237850188,3805.684772491455,18508.873306930065
NMME ensemble mean,1990-06,1991-02,8,0.4009056091308594,0.5246890366935029,0.0129441488534212,-2.731441483356966,0.7636828015157626,0.0543981747587326,0.2363171984842373,0.5112854790559301,0.4356594841839504,0.5112854790559301,0.063331342468658,324.4619827866554,1266.5922791957855,4373.520546376705,17902.13003474474
NMME ensemble mean,1990-06,1991-03,9,0.2180290222167968,0.6410796000572383,0.2131431698799133,-3.077578806225051,0.7572912929191724,0.0831035930617129,0.2427087070808275,0.7098769938840468,0.431224719264863,0.7098769938840468,0.0595227507829635,525.021815598011,952.409279346466,4840.247795403004,17549.025952756405
NMME ensemble mean,1990-07,1990-08,1,0.1525650024414062,0.6176730548747201,0.1498579084873199,-0.8914591778342187,0.9247432924344922,0.0449213621628561,0.0752567075655078,0.1784785129226086,0.1485045049551138,0.1784785129226086,0.0397876456692442,84.47952479124069,804.1866591572762,991.9429677724838,21986.095691382885
NMME ensemble mean,1990-07,1990-09,2,0.167510986328125,0.6183040324740041,0.0341444835066795,-1.0068603371318845,0.9081519076965274,0.029798197688936,0.0918480923034725,0.1975859301508473,0.2209856266127411,0.1975859301508473,0.0457670574299842,67.32719522714615,999.7250582575798,1192.3862511515615,21607.2663384676
