Phase,Slope,CI_low,CI_high,Correlation,Correlation_CI_low,Correlation_CI_high,P,n
El Nino,0.10543658686875405,0.0651869061934642,0.1566266938957841,0.4901329779320434,0.3832958108479358,0.5986078299272394,2.613772499507206e-07,99
La Nina,-0.03579619311384969,-0.09727419511833602,0.03804047296568867,-0.09489335031879893,-0.2520908761254721,0.10739867830453427,0.29053593537561917,126
El Nino minus La Nina,0.14123277998260375,0.054194560862062834,0.22058923885449971,0.5850263282508423,0.3524033713956459,0.7629070090579071,0.00599880023995201,5000
