Event,Start_Month,End_Month,Peak_Nino34,Mean_SEDI,Valid_Months
1991/92,1991-07,1992-06,1.7699999999999994,0.17324205071458385,12
1994/95,1994-07,1995-06,1.126666666666666,0.0864087028009332,12
1997/98,1997-07,1998-06,2.3599999999999994,0.5571027981910716,12
2002/03,2002-07,2003-06,1.3633333333333326,0.13343960249995643,12
2004/05,2004-07,2005-06,0.7099999999999994,0.04646439085115197,12
2006/07,2006-07,2007-06,0.9433333333333328,0.10827402156967392,12
2009/10,2009-07,2010-06,1.573333333333333,0.2921568729822563,12
2015/16,2015-07,2016-06,2.65,0.4997769004354875,12
2018/19,2018-07,2019-06,0.8966666666666662,0.21322112026434667,12
2023/24,2023-07,2024-06,1.953333333333333,0.1933236163868396,12
