Phase,Slope,CI_low,CI_high,Correlation,Correlation_CI_low,Correlation_CI_high,P,n
El Nino,0.23765864257772995,0.15316075164387938,0.3045951161759156,0.6584904391837549,0.43301833211445095,0.791891933084375,1.286611416226662e-13,99
La Nina,0.02541195092555504,-0.10776555069710796,0.14529176445822561,0.05534432300918899,-0.23189422241302962,0.3154770240239433,0.5382119463733382,126
El Nino minus La Nina,0.2122466916521749,0.06874811185245665,0.35711959404184296,0.6031461161745659,0.25961707806661316,0.9365680851140834,0.003599280143971206,5000
