time,RMSE,leads,Nino34
2001-04-01,0.2726128376738658,9,-0.49
2001-05-01,0.2585799877123879,9,-0.34
2001-06-01,0.30576970119690355,9,-0.19
2001-07-01,0.27455412600870105,9,-0.04
2001-08-01,0.19695938139277228,9,-0.05
2001-09-01,0.2730311235084023,9,-0.2
2001-10-01,0.23336805967602506,9,-0.14
2001-11-01,0.33329487903344973,9,-0.37
2001-12-01,0.4321645641410536,9,-0.41
2002-01-01,0.4605238208764188,9,-0.15
2002-02-01,0.46414300632047506,9,-0.04
2002-03-01,0.4112778633948072,9,0.01
2002-04-01,0.2534563637713962,9,0.02
2002-05-01,0.21168246615413813,9,0.31
2002-06-01,0.23621291912000486,9,0.72
2002-07-01,0.26444986220858074,9,0.74
2002-08-01,0.19768264072107883,9,0.87
2002-09-01,0.2201966060377456,9,1.09
2002-10-01,0.32075353460675565,9,1.25
2002-11-01,0.2948516315212369,9,1.47
2002-12-01,0.30147543014690276,9,1.37
2003-01-01,0.2932507151269091,9,0.6
2003-02-01,0.2291122490359493,9,0.64
2003-03-01,0.2822208713932135,9,0.36
2003-04-01,0.20375628095998916,9,-0.14
2003-05-01,0.24762206941352558,9,-0.61
2003-06-01,0.24907111264620693,9,-0.29
2003-07-01,0.27829301068293694,9,0.21
2003-08-01,0.2390858148204369,9,0.26
2003-09-01,0.1960410495134952,9,0.27
2003-10-01,0.2348635729501576,9,0.42
2003-11-01,0.25404962952688037,9,0.33
2003-12-01,0.3003519205530237,9,0.43
2004-01-01,0.221448905184491,9,0.27
2004-02-01,0.27544809317113694,9,0.23
2004-03-01,0.2723321815031542,9,0.12
2004-04-01,0.2670903835002905,9,0.07
2004-05-01,0.2732796489141118,9,0.06
2004-06-01,0.37673922233317386,9,0.13
2004-07-01,0.19448120048335138,9,0.49
2004-08-01,0.2738064333912365,9,0.76
2004-09-01,0.23259939519024767,9,0.81
2004-10-01,0.15908161028862539,9,0.73
2004-11-01,0.23052940152624493,9,0.66
2004-12-01,0.33641079039945776,9,0.74
2005-01-01,0.31879366175133694,9,0.66
2005-02-01,0.28591102357388204,9,0.36
2005-03-01,0.25434646255354,9,0.45
2005-04-01,0.25673279215372213,9,0.26
2005-05-01,0.31512044972005276,9,0.3
2005-06-01,0.3252017912332603,9,0.04
2005-07-01,0.311775174699133,9,-0.23
2005-08-01,0.25068914432615896,9,-0.05
2005-09-01,0.24916531361388788,9,-0.04
2005-10-01,0.28298866842360154,9,-0.06
2005-11-01,0.24820351622021725,9,-0.59
2005-12-01,0.3241294548457704,9,-0.92
2006-01-01,0.2874349856504425,9,-0.91
2006-02-01,0.3464831253129636,9,-0.67
2006-03-01,0.3532740636896539,9,-0.71
2006-04-01,0.3426136311144097,9,-0.32
2006-05-01,0.3038769522705814,9,-0.09
2006-06-01,0.2770217772023561,9,0.0
2006-07-01,0.3058554270593895,9,0.01
2006-08-01,0.30356348167931385,9,0.31
2006-09-01,0.31722247861336816,9,0.6
2006-10-01,0.30399046166625654,9,0.7
2006-11-01,0.3415607718430869,9,0.99
2006-12-01,0.29728147568221597,9,1.14
2007-01-01,0.40273875996994923,9,0.7
2007-02-01,0.3238892432795706,9,0.13
2007-03-01,0.24159955415731982,9,-0.18
2007-04-01,0.30322527887394296,9,-0.32
2007-05-01,0.15469260102474525,9,-0.47
2007-06-01,0.16731302149721425,9,-0.35
2007-07-01,0.2761932519464308,9,-0.59
2007-08-01,0.260910818347074,9,-0.72
2007-09-01,0.35158184414022287,9,-1.11
2007-10-01,0.3699007784466936,9,-1.39
2007-11-01,0.3931601843826396,9,-1.54
2007-12-01,0.3044063909288333,9,-1.58
2008-01-01,0.22897936339179795,9,-1.68
2008-02-01,0.2928903688564867,9,-1.67
2008-03-01,0.28535152105243095,9,-1.21
2008-04-01,0.2828003361376668,9,-0.99
2008-05-01,0.25320237327693706,9,-0.84
2008-06-01,0.2981170505157443,9,-0.68
2008-07-01,0.45585091734443406,9,-0.3
2008-08-01,0.40548799479158076,9,-0.13
2008-09-01,0.31759698392868485,9,-0.25
2008-10-01,0.28590452137465394,9,-0.35
2008-11-01,0.31597665335545494,9,-0.46
2008-12-01,0.2838009803542933,9,-0.86
2009-01-01,0.32399994780580355,9,-0.89
2009-02-01,0.260422409804331,9,-0.79
2009-03-01,0.30692508053525214,9,-0.69
2009-04-01,0.2548554088419668,9,-0.35
2009-05-01,0.23403645462662695,9,0.06
2009-06-01,0.2623246213432444,9,0.31
2009-07-01,0.21582463519312958,9,0.48
2009-08-01,0.26571301313867857,9,0.56
2009-09-01,0.27253685356869606,9,0.68
2009-10-01,0.24369421552439363,9,0.89
2009-11-01,0.34395548873188236,9,1.46
2009-12-01,0.4137697539831836,9,1.74
2010-01-01,0.42138173903210074,9,1.52
2010-02-01,0.393377580785535,9,1.25
2010-03-01,0.3773399062164608,9,0.9
2010-04-01,0.39124312633043945,9,0.38
2010-05-01,0.34688490134354566,9,-0.22
2010-06-01,0.35877629965179986,9,-0.69
2010-07-01,0.27782254998932965,9,-1.07
2010-08-01,0.30180832093670834,9,-1.39
2010-09-01,0.3519382758342984,9,-1.6
2010-10-01,0.30129435944880667,9,-1.69
2010-11-01,0.30900839306609545,9,-1.64
2010-12-01,0.4294195791089764,9,-1.6
2011-01-01,0.5095350156556734,9,-1.54
2011-02-01,0.5070727627799196,9,-1.11
2011-03-01,0.40832623653788547,9,-0.93
2011-04-01,0.37525064136524855,9,-0.77
2011-05-01,0.35470959872067365,9,-0.52
2011-06-01,0.3544485986167555,9,-0.38
2011-07-01,0.36694995148001003,9,-0.43
2011-08-01,0.40911475880269577,9,-0.65
2011-09-01,0.25548365144008695,9,-0.8
2011-10-01,0.24893357801047522,9,-1.05
2011-11-01,0.3343492004398676,9,-1.19
2011-12-01,0.3570029661373788,9,-1.06
2012-01-01,0.3445721710613402,9,-0.87
2012-02-01,0.4021730116899551,9,-0.67
2012-03-01,0.38621161317805947,9,-0.61
2012-04-01,0.3774502497827429,9,-0.5
2012-05-01,0.397253335384312,9,-0.32
2012-06-01,0.30156456298541773,9,0.02
2012-07-01,0.3724793176406755,9,0.25
2012-08-01,0.360279524065628,9,0.47
2012-09-01,0.3824093950748568,9,0.38
2012-10-01,0.3369428420314123,9,0.26
2012-11-01,0.305982996323679,9,0.16
2012-12-01,0.2832808039414655,9,-0.25
2013-01-01,0.33186882825366865,9,-0.53
2013-02-01,0.41267345826829355,9,-0.52
2013-03-01,0.35413697998894694,9,-0.25
2013-04-01,0.22462992224552988,9,-0.25
2013-05-01,0.3552917244193766,9,-0.4
2013-06-01,0.23809127205290415,9,-0.42
2013-07-01,0.2915546250860838,9,-0.39
2013-08-01,0.25580375122280147,9,-0.38
2013-09-01,0.2707531973167879,9,-0.18
2013-10-01,0.19639391476289503,9,-0.2
2013-11-01,0.3150721540971622,9,-0.14
2013-12-01,0.36343803403570546,9,-0.17
2014-01-01,0.4056869022542297,9,-0.49
2014-02-01,0.4694194009528525,9,-0.62
2014-03-01,0.348725098895615,9,-0.28
2014-04-01,0.32536764917797,9,0.08
2014-05-01,0.3044422890999648,9,0.32
2014-06-01,0.30331312896729296,9,0.23
2014-07-01,0.34433118978817284,9,-0.06
2014-08-01,0.3530874966636256,9,-0.03
2014-09-01,0.4110243041907757,9,0.29
2014-10-01,0.33560403061242045,9,0.44
2014-11-01,0.38244004669537834,9,0.75
2014-12-01,0.4208911195289019,9,0.71
2015-01-01,0.4719463178821625,9,0.51
2015-02-01,0.4660570777093005,9,0.42
2015-03-01,0.4063116451211404,9,0.47
2015-04-01,0.3524552904645097,9,0.7
2015-05-01,0.3342496136750679,9,0.92
2015-06-01,0.40186957474145063,9,1.18
2015-07-01,0.4194744781624267,9,1.46
2015-08-01,0.4490592877568443,9,1.93
2015-09-01,0.45770255841903973,9,2.21
2015-10-01,0.4391762958573574,9,2.36
2015-11-01,0.46107589505317753,9,2.72
2015-12-01,0.45277880824556654,9,2.66
2016-01-01,0.4994930236493463,9,2.57
2016-02-01,0.496206401620948,9,2.26
2016-03-01,0.43765062475535066,9,1.62
2016-04-01,0.4222134041554418,9,0.91
2016-05-01,0.3777215697263142,9,0.3
2016-06-01,0.34464710829059036,9,-0.03
2016-07-01,0.3618373258452757,9,-0.48
2016-08-01,0.37734935192224156,9,-0.58
2016-09-01,0.4513475981448842,9,-0.58
2016-10-01,0.3606194621408445,9,-0.74
2016-11-01,0.38620719467156867,9,-0.76
2016-12-01,0.36915784769869675,9,-0.5
2017-01-01,0.40564249167460925,9,-0.43
2017-02-01,0.4472459157326635,9,-0.08
2017-03-01,0.39900240428517775,9,0.03
2017-04-01,0.41108744930434143,9,0.22
2017-05-01,0.2745724413986817,9,0.37
2017-06-01,0.3020266443315284,9,0.34
2017-07-01,0.32672427974501506,9,0.25
2017-08-01,0.327823511862649,9,-0.16
2017-09-01,0.30263145264972,9,-0.43
2017-10-01,0.32246100433852576,9,-0.56
2017-11-01,0.2888827882847838,9,-0.97
2017-12-01,0.41628446804178465,9,-0.98
2018-01-01,0.45105778032247484,9,-0.98
2018-02-01,0.5171968322599317,9,-0.78
2018-03-01,0.4243731106634878,9,-0.8
2018-04-01,0.4129236193778021,9,-0.51
2018-05-01,0.48579389565712133,9,-0.2
2018-06-01,0.3929404369873445,9,0.04
2018-07-01,0.3808398986675778,9,0.12
2018-08-01,0.3185441910497225,9,0.09
2018-09-01,0.3603763335859741,9,0.47
2018-10-01,0.3741822338107802,9,0.9
2018-11-01,0.36081578545444576,9,0.9
2018-12-01,0.35697586034098844,9,0.89
2019-01-01,0.36681166245068697,9,0.65
2019-02-01,0.3653470490762725,9,0.71
2019-03-01,0.39067050674460463,9,0.81
2019-04-01,0.35423397042224136,9,0.62
2019-05-01,0.3735744628530834,9,0.55
2019-06-01,0.3614562351545263,9,0.45
2019-07-01,0.3879165482099143,9,0.35
2019-08-01,0.4204666678371116,9,0.04
2019-09-01,0.4135598737101421,9,0.03
2019-10-01,0.38502330500027276,9,0.48
2019-11-01,0.43827709721853275,9,0.52
2019-12-01,0.42952237979984903,9,0.52
2020-01-01,0.49579336578885186,9,0.6
2020-02-01,0.5326405178443159,9,0.37
2020-03-01,0.42086428978772106,9,0.48
2020-04-01,0.4315632307611144,9,0.36
2020-05-01,0.31198114138151156,9,-0.27
2020-06-01,0.3673235453949944,9,-0.34
2020-07-01,0.3811268924722344,9,-0.3
2020-08-01,0.3608062869979955,9,-0.59
2020-09-01,0.35397026960986666,9,-0.83
2020-10-01,0.38838941083267525,9,-1.26
2020-11-01,0.4273210993166992,9,-1.42
2020-12-01,0.3813384250390929,9,-1.15
2021-01-01,0.45637131424366206,9,-1.0
2021-02-01,0.4654792993329505,9,-1.0
2021-03-01,0.4831419039073592,9,-0.8
2021-04-01,0.4204808092889559,9,-0.72
2021-05-01,0.4041490304643856,9,-0.46
2021-06-01,0.42859463818299726,9,-0.28
2021-07-01,0.46758514079806485,9,-0.39
2021-08-01,0.4918210870639347,9,-0.53
2021-09-01,0.49247452854506824,9,-0.55
2021-10-01,0.5289994242505817,9,-0.94
2021-11-01,0.51316995627627,9,-0.94
2021-12-01,0.5960803698226702,9,-1.06
