Phase,Slope,CI_low,CI_high,Correlation,Correlation_CI_low,Correlation_CI_high,P,n
El Nino,0.0947594273267521,0.054751971375553495,0.1245033055845204,0.6013291518667561,0.32448463282762424,0.7718178175483791,4.6558738869209e-11,99
La Nina,0.0331142741498226,-0.02785637199303105,0.09078929842280524,0.15344219880909962,-0.14829591407675632,0.3991839614786041,0.08627324554372157,126
El Nino minus La Nina,0.06164515317692951,-0.007355681710864111,0.1309454659444522,0.44788695305765647,0.08024822709406002,0.8280134340504635,0.08278344331133773,5000
