time,SEDI,leads,Nino34
2001-03-01,-0.07868591685675912,9,-0.48
2001-04-01,-0.0674337815079424,9,-0.49
2001-05-01,-0.1431415593768987,9,-0.34
2001-06-01,0.02403491518149771,9,-0.19
2001-07-01,-0.22120723542239928,9,-0.04
2001-08-01,-0.11790843116533423,9,-0.05
2001-09-01,-0.09693638566467497,9,-0.2
2001-10-01,-0.03388637842403514,9,-0.14
2001-11-01,0.02005210335159466,9,-0.37
2001-12-01,0.006680193978051369,9,-0.41
2002-01-01,0.1089950214502298,9,-0.15
2002-02-01,0.07202473696735172,9,-0.04
2002-03-01,0.23267243636978993,9,0.01
2002-04-01,0.10641988760067354,9,0.02
2002-05-01,-0.0007705994131457536,9,0.31
2002-06-01,-0.0912511157285836,9,0.72
2002-07-01,0.06886007333014467,9,0.74
2002-08-01,0.11170306160279998,9,0.87
2002-09-01,0.1583788184911174,9,1.09
2002-10-01,0.024844295065236537,9,1.25
2002-11-01,0.2640534564472466,9,1.47
2002-12-01,0.3149235192510376,9,1.37
2003-01-01,0.06378583402669269,9,0.6
2003-02-01,0.23069751523433032,9,0.64
2003-03-01,0.09459138834197518,9,0.36
2003-04-01,0.16496180814566683,9,-0.14
2003-05-01,-0.038231947566353536,9,-0.61
2003-06-01,0.1427074076295828,9,-0.29
2003-07-01,0.017172810647429676,9,0.21
2003-08-01,0.05054766260501406,9,0.26
2003-09-01,0.031047142705776624,9,0.27
2003-10-01,0.08978840336203572,9,0.42
2003-11-01,0.11441039294004435,9,0.33
2003-12-01,0.2026162114408281,9,0.43
2004-01-01,0.02272041920675999,9,0.27
2004-02-01,-0.16084871332471568,9,0.23
2004-03-01,0.040244366766677975,9,0.12
2004-04-01,-0.039080070435172955,9,0.07
2004-05-01,-0.038995950586265954,9,0.06
2004-06-01,0.2533535377846824,9,0.13
2004-07-01,0.18313814699649808,9,0.49
2004-08-01,-0.0599053094241147,9,0.76
2004-09-01,0.0190409996236364,9,0.81
2004-10-01,-0.11716276076104906,9,0.73
2004-11-01,-0.061867049377825487,9,0.66
2004-12-01,0.1620399877429008,9,0.74
2005-01-01,-0.004438076038948345,9,0.66
2005-02-01,-0.03619213278094923,9,0.36
2005-03-01,-0.0354082764436801,9,0.45
2005-04-01,0.05553159803255567,9,0.26
2005-05-01,0.2715572524401877,9,0.3
2005-06-01,0.18123831020461184,9,0.04
2005-07-01,0.2300901313622792,9,-0.23
2005-08-01,0.051522344350814826,9,-0.05
2005-09-01,-0.03655310610904255,9,-0.04
2005-10-01,-0.047177679008907715,9,-0.06
2005-11-01,-0.11958751392861207,9,-0.59
2005-12-01,-0.052278281603422384,9,-0.92
2006-01-01,-0.05170108646982244,9,-0.91
2006-02-01,0.02220881308635905,9,-0.67
2006-03-01,0.0018378467195564155,9,-0.71
2006-04-01,0.13205625843774108,9,-0.32
2006-05-01,0.05235974877400113,9,-0.09
2006-06-01,0.12491016648709768,9,0.0
2006-07-01,0.039007364720520035,9,0.01
2006-08-01,0.18696284045775727,9,0.31
2006-09-01,0.18523831086026293,9,0.6
2006-10-01,0.294359298215972,9,0.7
2006-11-01,0.12320986886819199,9,0.99
2006-12-01,0.252978133658568,9,1.14
2007-01-01,0.16208373465471793,9,0.7
2007-02-01,0.10149171099894574,9,0.13
2007-03-01,-0.06178399154709443,9,-0.18
2007-04-01,0.13130205103920564,9,-0.32
2007-05-01,0.046232360932562076,9,-0.47
2007-06-01,-0.16179342402352226,9,-0.35
2007-07-01,0.045903184140721934,9,-0.59
2007-08-01,0.057212694961991585,9,-0.72
2007-09-01,0.31464195085896385,9,-1.11
2007-10-01,-0.028144597179359868,9,-1.39
2007-11-01,-0.07938101018468537,9,-1.54
2007-12-01,-0.10489484253856868,9,-1.58
2008-01-01,-0.06999652832746504,9,-1.68
2008-02-01,-0.05969965954621629,9,-1.67
2008-03-01,0.07943342532962556,9,-1.21
2008-04-01,0.12512475319413674,9,-0.99
2008-05-01,0.16566337065564257,9,-0.84
2008-06-01,0.32830414341555697,9,-0.68
2008-07-01,0.3265462881988949,9,-0.3
2008-08-01,0.40924039151933456,9,-0.13
2008-09-01,0.11016098782420156,9,-0.25
2008-10-01,-0.2785688390334447,9,-0.35
2008-11-01,-0.23751853282252944,9,-0.46
2008-12-01,-0.06051553744408817,9,-0.86
2009-01-01,-0.0576904023894005,9,-0.89
2009-02-01,-0.05894441405932106,9,-0.79
2009-03-01,0.01870973822143346,9,-0.69
2009-04-01,0.10069994320575557,9,-0.35
2009-05-01,0.0669914964172575,9,0.06
2009-06-01,0.023372144645286922,9,0.31
2009-07-01,-0.010474835522472865,9,0.48
2009-08-01,0.14339258930865775,9,0.56
2009-09-01,0.43612895905971527,9,0.68
2009-10-01,0.3291150430838267,9,0.89
2009-11-01,0.3128241929743025,9,1.46
2009-12-01,0.48804452684190536,9,1.74
2010-01-01,0.39555488030115765,9,1.52
2010-02-01,0.23787899646494118,9,1.25
2010-03-01,0.3228116035461426,9,0.9
