event,stage,basin,dataset,CCE,TEI_Z200_GLOBAL,RBFI,OPI,FPI,dAUC,pathway_error
Canonical,whole_event,North Pacific,summary,0.0036677817012584,1.4572109927035162,1.4717017656938685,0.9775268466995476,1.1418468980333991,0.0288888020440936,0.1643200513338515
Canonical,whole_event,South Pacific,summary,0.0036677817012584,1.4572109927035162,0.7832950928009665,0.748057955735247,1.3703182522018602,0.0674312710762023,0.6222602964666132
Canonical,whole_event,Indian Ocean,summary,0.0036677817012584,1.4572109927035162,-1.1544585244266825,0.1021400833260307,0.568539003121399,0.0047101052477955,0.4663989197953683
Canonical,whole_event,North Atlantic,summary,0.0036677817012584,1.4572109927035162,-0.1678780201377661,0.4310002514223361,1.1606394460677314,0.0529793044552207,0.7296391946453953
Canonical,whole_event,Tropical Atlantic,summary,0.0036677817012584,1.4572109927035162,-1.573853147417775,-0.0376581243376668,0.7183964803229501,0.0399264246225357,0.7560546046606169
Canonical,whole_event,South Atlantic,summary,0.0036677817012584,1.4572109927035162,-0.4380259665276107,0.3409509359590546,0.7485886295443294,0.0551494695246219,0.4076376935852747
Canonical,whole_event,Global 60S-60N,summary,0.0036677817012584,1.4572109927035162,0.0941068450933299,0.5183285398327016,0.952761820796018,0.0407133945263922,0.4344332809633164
2023/24,whole_event,North Pacific,summary,0.0008092846387054,3.503617142597122,1.319269971043051,1.6078987994262928,1.2944500552049802,-0.0332970879971981,-0.3134487442213125
2023/24,whole_event,South Pacific,summary,0.0008092846387054,3.503617142597122,1.270782512855248,1.5917363133636917,1.2423933187184892,0.0005130997160449,-0.3493429946452024
2023/24,whole_event,Indian Ocean,summary,0.0008092846387054,3.503617142597122,-0.9652267008450586,0.846399908796923,0.7697934053169958,-0.025651516392827,-0.0766065034799271
2023/24,whole_event,North Atlantic,summary,0.0008092846387054,3.503617142597122,1.0228260942265737,1.5090841738208003,1.436627588585859,-0.0502364374697208,-0.0724565852349412
2023/24,whole_event,Tropical Atlantic,summary,0.0008092846387054,3.503617142597122,-0.4144034951575195,1.0300076440261026,1.0033723580110896,-0.0064270026050508,-0.0266352860150129
2023/24,whole_event,South Atlantic,summary,0.0008092846387054,3.503617142597122,-0.3778842620337015,1.0421807217340415,1.1607723315371663,0.0150997620075941,0.1185916098031245
2023/24,whole_event,Global 60S-60N,summary,0.0008092846387054,3.503617142597122,0.1148597897547388,1.206428738996855,1.1339988148881768,-0.0328304804861545,-0.0724299241086785
