Cohort,Baseline_MAE,Pathway_MAE,Relative_MAE_reduction,Reduction_CI_low,Reduction_CI_high
All held-out samples,0.09122292897706398,0.061334788127198614,0.32763846968101723,0.015541337930974624,0.5430058537993355
1997/98,0.11123021218680379,0.0607358367925454,0.4539627714586791,,
2015/16,0.0483173007355604,0.04691190744088166,0.029086750983264284,,
2023/24,0.11412127400882772,0.07635662014816876,0.3309168618091113,,
