Basin,Pathway_mismatch_departure,Binary_member_AUC_enhancement_departure
Global 60S-60N,-0.5068632050719949,-0.0735438750125467
Indian Ocean,-0.5430054232752954,-0.030361621640622498
North Atlantic,-0.8020957798803365,-0.1032157419249415
North Pacific,-0.47776879555516405,-0.0621858900412917
South Atlantic,-0.2890460837821502,-0.0400497075170278
South Pacific,-0.9716032911118155,-0.0669181713601574
Tropical Atlantic,-0.7826898906756298,-0.0463534272275865
