Basin,Total_skill_loss,ENSO_source_linked,Teleconnection_fidelity,Regional_process_signal,Unresolved,Local_error_index,Observed_basin_skill_loss,Spatial_share_of_global_residual,Expected_global_AUC,Observed_global_AUC,Figure1_residual
North Atlantic,0.0322433325012476,0.0101074386247803,0.0043977238669339,0.009922209931222,0.0078159600783112,0.3600814377477594,0.1032157419249415,0.295675471897715,0.7050185254528283,0.5959687882720525,-0.1090497371807758
South Pacific,0.0209044164126638,0.0055860279742143,0.0064494881372815,0.0038015554745917,0.0050673448265762,0.2496270597956936,0.0669181713601574,0.1916961650078059,0.7050185254528283,0.5959687882720525,-0.1090497371807758
North Pacific,0.0194261097395927,0.0070104745354278,0.005061692047187,0.0026449479501183,0.0047089952068594,0.1383895028695531,0.0621858900412917,0.1781399042474475,0.7050185254528283,0.5959687882720525,-0.1090497371807758
Tropical Atlantic,0.0144802424397464,0.0042016321307645,0.0018281207126243,0.0049403996629132,0.0035100899334443,0.4312980486404984,0.0463534272275865,0.132785670228091,0.7050185254528283,0.5959687882720525,-0.1090497371807758
South Atlantic,0.0125110376766782,0.003750308997251,0.0016317510298952,0.0040962337166465,0.0030327439328854,0.4006370520226298,0.0400497075170278,0.1147278113649946,0.7050185254528283,0.5959687882720525,-0.1090497371807758
Indian Ocean,0.0094845984108467,0.0026208917311515,0.0045645881709267,0.0,0.0022991185087684,0.0,0.0303616216406224,0.0869749772539458,0.7050185254528283,0.5959687882720525,-0.1090497371807758
