Model,Predictors,CV_R2,CV_R2_CI_low,CV_R2_CI_high,CV_RMSE,CV_RMSE_CI_low,CV_RMSE_CI_high,CV_MAE,CV_MAE_CI_low,CV_MAE_CI_high,Samples,Held_out_events
Location + lead,,0.08839001424481308,-1.0099676118062944,0.5212344518624775,0.12434508406570775,0.08156011907387735,0.16282857537554002,0.09122292897706398,0.06103906079844129,0.12572949181438625,72,3
Source,Source_error,0.33096361076292413,-0.5470315710204098,0.6511232551193744,0.10652436483540038,0.0782440965936177,0.13416587009344297,0.08464238116264797,0.06324191267796211,0.11030260505780475,72,3
Source + teleconnection,Source_error;Teleconnection_error,0.3657486469538861,-0.6174475435040455,0.7185613057423988,0.10371815545327102,0.07369336542050835,0.1300578330366507,0.0799033308004698,0.058817829791597685,0.10373441580277777,72,3
Source + teleconnection + regional process,Source_error;Teleconnection_error;Local_ocean_pattern_error,0.590003126193873,0.1636475781643359,0.7776891911206594,0.0833900733850264,0.05604881857753847,0.1077518728661747,0.061334788127198614,0.04100832521759656,0.08337484903177311,72,3
