Basin,MHW_intensity_C,MHW_intensity_z,direct_share,remote_share,local_share,residual_share
North Pacific,0.2511476558605897,9.529217483894609,0.1251559575312211,0.0380762805388121,0.525915410050999,0.3108523518789676
South Pacific,0.1560598988526634,3.322253979019412,0.1701222950257165,0.0716474723340494,0.6302828771679735,0.12794735547226
Indian Ocean,0.2211594506951446,12.766271070665375,0.0,0.0804811749346682,0.5792524244460346,0.3402664006192969
North Atlantic,0.4014306341045245,17.55740305761631,0.0,0.0272872970905822,0.5600817821547758,0.4126309207546419
Tropical Atlantic,0.5012464633953267,12.759779011316873,0.007589255154959,0.0213536137889806,0.6708542968317744,0.3002028342242859
South Atlantic,0.1753646620134907,9.606366197027176,0.0,0.0309207940782089,0.6231632363433772,0.3459159695784135
Global 60S-60N,0.2385355011287792,10.754637822235011,0.0582129347898434,0.0464061409697557,0.582565003734857,0.3128159205055438
