source_case,south,north,west,east,direct_share,remote_share,local_share,residual_share,area_weighted_regime_agreement
Current broad,-10.0,10.0,120.0,280.0,0.06723659541328185,0.047072451681893335,0.5821189120663715,0.30357204083845346,1.0
Equatorial,-5.0,5.0,120.0,280.0,0.040497849258772596,0.0738111978364026,0.5821189120663715,0.30357204083845346,0.9986883401870728
Central-east,-10.0,10.0,160.0,280.0,0.06448115554483351,0.049827891550341674,0.5821189120663715,0.30357204083845346,1.0
Nino3.4,-5.0,5.0,190.0,240.0,0.015898571361974298,0.0984104757332009,0.5821189120663715,0.30357204083845346,0.9985421299934387
