event,lead,forecast_observation_pattern_skill
1997/98,1,0.826100410571741
1997/98,3,0.7463084866499072
1997/98,6,0.6850687463736972
1997/98,9,0.6903218234458387
2015/16,1,0.8505713659580181
2015/16,3,0.7120914910915251
2015/16,6,0.6870843880357789
2015/16,9,0.6333425833114039
2023/24,1,0.7498586626082137
2023/24,3,0.44124944918805475
2023/24,6,0.27035980543921295
2023/24,9,0.18328116438533804
