maximum_threshold,margin_threshold,area_weighted_agreement,direct_area_fraction,remote_area_fraction,local_area_fraction,mixed_area_fraction
0.4,0.05,0.8585816025733948,0.027484174817800522,0.0,0.9299048185348511,0.04261092096567154
0.4,0.1,0.8744605779647827,0.020331986248493195,0.0,0.9211779236793518,0.05848999693989754
0.4,0.15,0.8888407945632935,0.013611145317554474,0.0,0.9135186076164246,0.07287020981311798
0.4,0.2,0.8782126903533936,0.009515548124909401,0.0,0.903396725654602,0.08708767592906952
0.4,0.25,0.8634078502655029,0.004244552925229073,0.0,0.8883987069129944,0.1073567271232605
0.45,0.05,0.8978276252746582,0.027484174817800522,0.0,0.8906587958335876,0.08185699582099915
0.45,0.1,0.9135658144950867,0.020331986248493195,0.0,0.8820728063583374,0.0975952073931694
0.45,0.15,0.9273995757102966,0.013611145317554474,0.0,0.8749598860740662,0.11142893135547638
0.45,0.2,0.915532112121582,0.009515548124909401,0.0,0.8660773038864136,0.12440705299377441
0.45,0.25,0.8991354703903198,0.004244552925229073,0.0,0.8526710271835327,0.1430843472480774
0.5,0.05,0.9712936878204346,0.027484174817800522,0.0,0.8171926736831665,0.1553230881690979
0.5,0.1,0.9867432713508606,0.020331986248493195,0.0,0.8088953495025635,0.17077264189720154
0.5,0.15,1.0,0.013611145317554474,0.0,0.8023594617843628,0.18402934074401855
0.5,0.2,0.9875771403312683,0.009515548124909401,0.0,0.7940322160720825,0.19645215570926666
0.5,0.25,0.9700402021408081,0.004244552925229073,0.0,0.7817662954330444,0.21398909389972687
0.55,0.05,0.8807337284088135,0.01712002605199814,0.0,0.689501941204071,0.29337796568870544
0.55,0.1,0.8807337284088135,0.01712002605199814,0.0,0.689501941204071,0.29337796568870544
0.55,0.15,0.8856924772262573,0.013611145317554474,0.0,0.6880519986152649,0.29833677411079407
0.55,0.2,0.874686062335968,0.009515548124909401,0.0,0.6811411380767822,0.30934321880340576
0.55,0.25,0.8588300347328186,0.004244552925229073,0.0,0.6705561280250549,0.3251992464065552
0.6,0.05,0.7267069816589355,0.006587940733879805,0.0,0.5360895991325378,0.4573223888874054
0.6,0.1,0.7267069816589355,0.006587940733879805,0.0,0.5360895991325378,0.4573223888874054
0.6,0.15,0.7267069816589355,0.006587940733879805,0.0,0.5360895991325378,0.4573223888874054
0.6,0.2,0.7267069816589355,0.006587940733879805,0.0,0.5360895991325378,0.4573223888874054
0.6,0.25,0.7227423787117004,0.004244552925229073,0.0,0.5344684720039368,0.4612869322299957
