Bridge,Historical,2023/24,Difference
PNA (N. Pacific),0.7068306994772987,-1.4136613989545963,-2.120492098431895
PSA (S. Pacific),0.6996564677121249,-1.399312935424251,-2.098969403136376
Indian bridge,0.7039425834637814,-1.4078851669275625,-2.111827750391344
Atlantic bridge,0.4247543642941638,-0.8495087285883273,-1.2742630928824912
