basin,2023/24,Canonical
North Pacific,-0.0332970879971981,0.0288888020440936
South Pacific,0.0005130997160449,0.0674312710762023
Indian Ocean,-0.025651516392827,0.0047101052477955
North Atlantic,-0.0502364374697208,0.0529793044552207
Tropical Atlantic,-0.0064270026050508,0.0399264246225357
South Atlantic,0.0150997620075941,0.0551494695246219
Global 60S-60N,-0.0328304804861545,0.0407133945263922
