Bridge,Historical,2023/24,Difference
PNA (N. Pacific),0.7068306994772987,-1.4136613989545965,-2.120492098431895
PSA (S. Pacific),0.6996564677121249,-1.399312935424251,-2.098969403136376
Indian bridge,0.7039425834637814,-1.4078851669275625,-2.1118277503913436
Atlantic bridge,0.42475436429416386,-0.8495087285883273,-1.2742630928824912
