Process,Event,Linear_slope_per_month,Pearson_r_lead_vs_fidelity,Spearman_rho_lead_vs_fidelity,Spearman_p,Decreases_with_lead
Convection proxy,1997/98,-0.006962794886858217,-0.9239143832192115,-0.9500000000000001,8.762523965086177e-05,True
Convection proxy,2015/16,-0.03598503770262595,-0.9841930162008948,-0.9833333333333333,1.9361963037459243e-06,True
Convection proxy,2023/24,-0.04626488955103527,-0.9586637583908594,-0.9333333333333332,0.00023589981215941676,True
SST,1997/98,-0.002146984639906341,-0.646774666389037,-0.5166666666666667,0.1543901209862251,True
SST,2015/16,0.0024441055052737714,0.4315702020562905,0.3666666666666667,0.33173980143301507,False
SST,2023/24,-0.009817807998338021,-0.7496817834225117,-0.6833333333333333,0.04244227208707231,True
Zonal wind stress,1997/98,-0.015373764769061118,-0.8406217578000318,-0.8333333333333333,0.005265691029161748,True
Zonal wind stress,2015/16,-0.03934518369901808,-0.9864456826389226,-0.9833333333333333,1.9361963037459243e-06,True
Zonal wind stress,2023/24,-0.028301337779635855,-0.8481119865541231,-0.7999999999999999,0.00962792472537983,True
