Basin,MHW_intensity_C,MHW_intensity_z,direct_share,remote_share,local_share,residual_share
North Pacific,0.25114765586058974,9.529217483894609,0.12515595753122116,0.03807628053881211,0.525915410050999,0.31085235187896765
South Pacific,0.1560598988526634,3.322253979019412,0.17012229502571655,0.07164747233404947,0.6302828771679735,0.12794735547226008
Indian Ocean,0.22115945069514464,12.766271070665377,0.0,0.08048117493466822,0.5792524244460346,0.3402664006192969
North Atlantic,0.4014306341045245,17.55740305761631,0.0,0.02728729709058224,0.5600817821547758,0.41263092075464197
Tropical Atlantic,0.5012464633953267,12.759779011316871,0.007589255154959018,0.021353613788980652,0.6708542968317744,0.3002028342242859
South Atlantic,0.17536466201349077,9.606366197027175,0.0,0.03092079407820898,0.6231632363433772,0.3459159695784135
Global 60S-60N,0.2385355011287792,10.754637822235011,0.05821293478984349,0.04640614096975574,0.582565003734857,0.3128159205055438
