Event,Target_month,Lead,Initialization_month,Model,Path,Expected_S,Actual_S,Available_L_count,Usable,Reason
2015/16,2015-12,2,2015-10,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_201510.nc,669,669.0,10,True,usable
2015/16,2015-12,3,2015-09,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_201509.nc,668,668.0,12,True,usable
2015/16,2015-12,3,2015-09,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_201509.nc,668,668.0,9,True,usable
2015/16,2015-12,3,2015-09,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_201509.nc,668,668.0,12,True,usable
2015/16,2015-12,3,2015-09,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_201509.nc,668,668.0,10,True,usable
2015/16,2015-12,4,2015-08,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_201508.nc,667,667.0,12,True,usable
2015/16,2015-12,4,2015-08,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_201508.nc,667,667.0,9,True,usable
2015/16,2015-12,4,2015-08,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_201508.nc,667,667.0,12,True,usable
2015/16,2015-12,4,2015-08,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_201508.nc,667,667.0,10,True,usable
2015/16,2015-12,5,2015-07,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_201507.nc,666,666.0,12,True,usable
2015/16,2015-12,5,2015-07,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_201507.nc,666,666.0,9,True,usable
2015/16,2015-12,5,2015-07,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_201507.nc,666,666.0,12,True,usable
2015/16,2015-12,5,2015-07,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_201507.nc,666,666.0,10,True,usable
2015/16,2015-12,6,2015-06,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_201506.nc,665,665.0,12,True,usable
2015/16,2015-12,6,2015-06,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_201506.nc,665,665.0,9,True,usable
2015/16,2015-12,6,2015-06,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_201506.nc,665,665.0,12,True,usable
2015/16,2015-12,6,2015-06,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_201506.nc,665,665.0,10,True,usable
2015/16,2015-12,7,2015-05,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_201505.nc,664,664.0,12,True,usable
2015/16,2015-12,7,2015-05,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_201505.nc,664,664.0,9,True,usable
2015/16,2015-12,7,2015-05,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_201505.nc,664,664.0,12,True,usable
2015/16,2015-12,7,2015-05,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_201505.nc,664,664.0,10,True,usable
2015/16,2015-12,8,2015-04,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_201504.nc,663,663.0,12,True,usable
2015/16,2015-12,8,2015-04,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_201504.nc,663,663.0,9,True,usable
2015/16,2015-12,8,2015-04,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_201504.nc,663,663.0,12,True,usable
2015/16,2015-12,8,2015-04,NCEP-CFSv2,/data3/luoq/p03_Ocean_SST_ensemble/data/NCEP-CFSv2/sst_201504.nc,663,663.0,10,True,usable
2015/16,2015-12,9,2015-03,COLA-RSMAS-CCSM4,/data3/luoq/p03_Ocean_SST_ensemble/data/COLA-RSMAS-CCSM4/sst_201503.nc,662,662.0,12,True,usable
2015/16,2015-12,9,2015-03,NASA-GEOSS2S,/data3/luoq/p03_Ocean_SST_ensemble/data/NASA-GEOSS2S/sst_201503.nc,662,662.0,9,False,lead_unavailable
2015/16,2015-12,9,2015-03,GFDL-SPEAR,/data3/luoq/p03_Ocean_SST_ensemble/data/GFDL-SPEAR/sst_201503.nc,662,662.0,12,True,usable
