Process,Event,Linear_slope_per_month,Pearson_r_lead_vs_fidelity,Spearman_rho_lead_vs_fidelity,Spearman_p,Decreases_with_lead
Convection proxy,1997/98,-0.0069627948868582,-0.9239143832192116,-0.95,8.762523965086177e-05,True
Convection proxy,2015/16,-0.0359850377026259,-0.9841930162008948,-0.9833333333333332,1.9361963037459243e-06,True
Convection proxy,2023/24,-0.0462648895510352,-0.9586637583908594,-0.9333333333333332,0.0002358998121594,True
SST,1997/98,-0.0021469846399063,-0.646774666389037,-0.5166666666666667,0.1543901209862251,True
SST,2015/16,0.0024441055052737,0.4315702020562905,0.3666666666666667,0.331739801433015,False
SST,2023/24,-0.009817807998338,-0.7496817834225117,-0.6833333333333333,0.0424422720870723,True
Zonal wind stress,1997/98,-0.0153737647690611,-0.8406217578000318,-0.8333333333333333,0.0052656910291617,True
Zonal wind stress,2015/16,-0.039345183699018,-0.9864456826389226,-0.9833333333333332,1.9361963037459243e-06,True
Zonal wind stress,2023/24,-0.0283013377796358,-0.8481119865541231,-0.7999999999999999,0.0096279247253798,True
